step:9500 learning_rate= 0.013422 ctc_loss= 0.066843 sequence_distance= 0.000000 train_accuracy= 1.000000
step:9600 learning_rate= 0.013422 ctc_loss= 0.608872 sequence_distance= 0.029762 train_accuracy= 0.991071
step:9700 learning_rate= 0.013422 ctc_loss= 0.040657 sequence_distance= 0.000000 train_accuracy= 1.000000
step:9800 learning_rate= 0.013422 ctc_loss= 0.352028 sequence_distance= 0.031250 train_accuracy= 0.968750
step:9900 learning_rate= 0.013422 ctc_loss= 0.309562 sequence_distance= 0.000000 train_accuracy= 1.000000
step:10000 learning_rate= 0.013422 ctc_loss= 0.273523 sequence_distance= 0.012500 train_accuracy= 0.987500
step:10100 learning_rate= 0.010737 ctc_loss= 0.890731 sequence_distance= 0.033333 train_accuracy= 0.960417
step:10200 learning_rate= 0.010737 ctc_loss= 0.555571 sequence_distance= 0.041667 train_accuracy= 0.958333
step:10300 learning_rate= 0.010737 ctc_loss= 0.378800 sequence_distance= 0.012500 train_accuracy= 0.987500
step:10400 learning_rate= 0.010737 ctc_loss= 0.140041 sequence_distance= 0.000000 train_accuracy= 1.000000
step:10500 learning_rate= 0.010737 ctc_loss= 0.198154 sequence_distance= 0.031250 train_accuracy= 0.968750
step:10600 learning_rate= 0.010737 ctc_loss= 0.379645 sequence_distance= 0.022917 train_accuracy= 0.977083
step:10700 learning_rate= 0.010737 ctc_loss= 0.645239 sequence_distance= 0.015625 train_accuracy= 0.984375
step:10800 learning_rate= 0.010737 ctc_loss= 0.324138 sequence_distance= 0.021429 train_accuracy= 0.978571
step:10900 learning_rate= 0.010737 ctc_loss= 0.524764 sequence_distance= 0.014062 train_accuracy= 0.979688
step:11000 learning_rate= 0.010737 ctc_loss= 0.028999 sequence_distance= 0.000000 train_accuracy= 1.000000
step:11100 learning_rate= 0.008590 ctc_loss= 0.321763 sequence_distance= 0.020833 train_accuracy= 0.979167
step:11200 learning_rate= 0.008590 ctc_loss= 0.790386 sequence_distance= 0.040179 train_accuracy= 0.959821
step:11300 learning_rate= 0.008590 ctc_loss= 0.298644 sequence_distance= 0.020833 train_accuracy= 0.979167
step:11400 learning_rate= 0.008590 ctc_loss= 0.406816 sequence_distance= 0.009615 train_accuracy= 0.990385
step:11500 learning_rate= 0.008590 ctc_loss= 0.294218 sequence_distance= 0.006944 train_accuracy= 0.993056
step:11600 learning_rate= 0.008590 ctc_loss= 0.239345 sequence_distance= 0.062500 train_accuracy= 0.937500
step:11700 learning_rate= 0.008590 ctc_loss= 0.347062 sequence_distance= 0.006250 train_accuracy= 0.993750
step:11800 learning_rate= 0.008590 ctc_loss= 0.311193 sequence_distance= 0.020833 train_accuracy= 0.958333
step:11900 learning_rate= 0.008590 ctc_loss= 0.701389 sequence_distance= 0.072917 train_accuracy= 0.895833
step:12000 learning_rate= 0.008590 ctc_loss= 0.103772 sequence_distance= 0.000000 train_accuracy= 1.000000
step:12100 learning_rate= 0.006872 ctc_loss= 0.078106 sequence_distance= 0.000000 train_accuracy= 1.000000
step:12200 learning_rate= 0.006872 ctc_loss= 0.508448 sequence_distance= 0.000000 train_accuracy= 1.000000
step:12300 learning_rate= 0.006872 ctc_loss= 0.091188 sequence_distance= 0.000000 train_accuracy= 1.000000
step:12400 learning_rate= 0.006872 ctc_loss= 0.908169 sequence_distance= 0.045387 train_accuracy= 0.975446
step:12500 learning_rate= 0.006872 ctc_loss= 0.025830 sequence_distance= 0.000000 train_accuracy= 1.000000
step:12600 learning_rate= 0.006872 ctc_loss= 0.090549 sequence_distance= 0.000000 train_accuracy= 1.000000
step:12700 learning_rate= 0.006872 ctc_loss= 0.517599 sequence_distance= 0.015625 train_accuracy= 0.984375
step:12800 learning_rate= 0.006872 ctc_loss= 0.314074 sequence_distance= 0.012500 train_accuracy= 0.987500
step:12900 learning_rate= 0.006872 ctc_loss= 0.510299 sequence_distance= 0.012500 train_accuracy= 0.987500
step:13000 learning_rate= 0.006872 ctc_loss= 0.485493 sequence_distance= 0.020833 train_accuracy= 0.979167
step:13100 learning_rate= 0.005498 ctc_loss= 0.666077 sequence_distance= 0.031250 train_accuracy= 0.968750
